sample1-3_1001,1721397545.984602,238260357,8806095
sample1-3_3003,1721397546.5572212,246900418,12065996
sample1-3_6506,1721397547.5325735,227450236,13828826
sample1-3_8508,1721397548.064395,278005107,50975839
sample1-3_10010,1721397548.514533,200037464,78268475
sample1-3_13013,1721397549.579205,301048324,98344191
sample1-3_21021,1721397551.67315,237018920,70667688
sample1-3_23523,1721397552.3325639,313885969,78346820
sample1-3_25525,1721397552.911514,275486114,38444880
sample1-3_35535,1721397556.1549633,262234331,13686518
sample1-3_38038,1721397556.8505948,246611647,9768381
sample1-3_40540,1721397557.5636418,320534545,65698107
sample1-3_42542,1721397558.1396985,317846488,8378220
sample1-3_43543,1721397558.4298801,243713285,80789016
sample1-3_49549,1721397559.9757566,319109631,85541972
sample1-3_57557,1721397562.4504423,323326525,20148075
sample1-4_1001,1721397545.9477491,238260357,8806095
sample1-4_3003,1721397546.5105202,246900418,12065996
sample1-4_6506,1721397547.509684,227450236,13828826
sample1-4_8508,1721397548.0235431,278005107,50975839
sample1-4_10010,1721397548.4113998,200037464,78268475
sample1-4_13013,1721397549.4824123,301048324,98344191
sample1-4_21021,1721397551.6596718,237018920,70667688
sample1-4_23523,1721397552.3285089,313885969,78346820
sample1-4_25525,1721397552.9308248,275486114,38444880
sample1-4_35535,1721397556.0203547,262234331,13686518
sample1-4_38038,1721397556.7095928,246611647,9768381
sample1-4_40540,1721397557.4205012,320534545,65698107
sample1-4_42542,1721397557.9932742,317846488,8378220
sample1-4_43543,1721397558.3116856,243713285,80789016
sample1-4_49549,1721397559.917662,319109631,85541972
sample1-4_57557,1721397562.4274685,323326525,20148075
sample1-2_1001,1721397545.877204,238260357,8806095
sample1-2_3003,1721397546.4586186,246900418,12065996
sample1-2_6506,1721397547.457959,227450236,13828826
sample1-2_8508,1721397547.9508846,278005107,50975839
sample1-2_10010,1721397548.360868,200037464,78268475
sample1-2_13013,1721397549.4301476,301048324,98344191
sample1-2_21021,1721397551.6326501,237018920,70667688
sample1-2_23523,1721397552.2320945,313885969,78346820
sample1-2_25525,1721397552.7962954,275486114,38444880
sample1-2_35535,1721397556.0079136,262234331,13686518
sample1-2_38038,1721397556.6881638,246611647,9768381
sample1-2_40540,1721397557.3833938,320534545,65698107
sample1-2_42542,1721397557.9026768,317846488,8378220
sample1-2_43543,1721397558.1737967,243713285,80789016
sample1-2_49549,1721397559.7456825,319109631,85541972
sample1-2_57557,1721397562.2600121,323326525,20148075
sample1-5_1001,1721397546.0417585,238260357,8806095
sample1-5_3003,1721397546.6423712,246900418,12065996
sample1-5_6506,1721397547.6443555,227450236,13828826
sample1-5_8508,1721397548.1554177,278005107,50975839
sample1-5_10010,1721397548.6077132,200037464,78268475
sample1-5_13013,1721397549.6997151,301048324,98344191
sample1-5_21021,1721397551.8046796,237018920,70667688
sample1-5_23523,1721397552.4713008,313885969,78346820
sample1-5_25525,1721397553.0489976,275486114,38444880
sample1-5_35535,1721397556.1955557,262234331,13686518
sample1-5_38038,1721397556.8652563,246611647,9768381
sample1-5_40540,1721397557.5734124,320534545,65698107
sample1-5_42542,1721397558.1416683,317846488,8378220
sample1-5_43543,1721397558.4271789,243713285,80789016
sample1-5_49549,1721397559.9610243,319109631,85541972
sample1-5_57557,1721397562.454131,323326525,20148075
sample1-1_1001,1721397545.849915,238260357,8806095
sample1-1_3003,1721397546.4475365,246900418,12065996
sample1-1_6506,1721397547.4138913,227450236,13828826
sample1-1_8508,1721397547.9212794,278005107,50975839
sample1-1_10010,1721397548.34522,200037464,78268475
sample1-1_13013,1721397549.459179,301048324,98344191
sample1-1_21021,1721397551.5315456,237018920,70667688
sample1-1_23523,1721397552.1794891,313885969,78346820
sample1-1_25525,1721397552.7751868,275486114,38444880
sample1-1_35535,1721397555.8419287,262234331,13686518
sample1-1_38038,1721397556.4998195,246611647,9768381
sample1-1_40540,1721397557.1582074,320534545,65698107
sample1-1_42542,1721397557.7148168,317846488,8378220
sample1-1_43543,1721397558.009983,243713285,80789016
sample1-1_49549,1721397559.6262758,319109631,85541972
sample1-1_57557,1721397562.225783,323326525,20148075
