sample1-1_1001,1721396621.4960186,238260357,8806095
sample1-1_3003,1721396621.8855808,246900418,12065996
sample1-1_6506,1721396622.5203166,227450236,13828826
sample1-1_8508,1721396622.8428257,278005107,50975839
sample1-1_10010,1721396623.1145945,200037464,78268475
sample1-1_13013,1721396623.8936217,301048324,98344191
sample1-1_21021,1721396625.2212174,237018920,70667688
sample1-1_23523,1721396625.601501,313885969,78346820
sample1-1_25525,1721396626.0598817,275486114,38444880
sample1-1_35535,1721396627.7281797,262234331,13686518
sample1-1_38038,1721396628.1235466,246611647,9768381
sample1-1_40540,1721396628.5602975,320534545,65698107
sample1-1_42542,1721396628.882363,317846488,8378220
sample1-1_43543,1721396629.0334597,243713285,80789016
sample1-1_49549,1721396629.952548,319109631,85541972
sample1-1_57557,1721396631.3944995,323326525,20148075
